"id","houseno","houseno_specification","geo_long","geo_lat","address_specification_verbatim","street_id"
"3998","74",NULL,"2.37591","48.8829","À La Villette","91"
"3999","3",NULL,"2.33023","48.8463",NULL,"519"
"4000","10",NULL,"2.37591","48.8829","À La Villette","91"
"4001","19",NULL,"2.37591","48.8829","À La Villette","91"
"4002","88",NULL,"2.37633","48.8654",NULL,"220"
"4003","60",NULL,"2.37633","48.8654",NULL,"220"
"4004","21",NULL,"2.34428","48.8568",NULL,"866"
"4005","54",NULL,"2.3157","48.876",NULL,"177"
"4006","18",NULL,"2.3157","48.876",NULL,"177"
"4007","7",NULL,"2.33136","48.8752",NULL,"166"
"4008","13",NULL,"2.31126","48.878",NULL,"930"
"4009","20",NULL,"2.31172","48.8711",NULL,"225"
"4010","25",NULL,"2.31172","48.8711",NULL,"225"
"4011","32",NULL,"2.31172","48.8711",NULL,"225"
"4012","8",NULL,"2.34247","48.8521",NULL,"689"
"4013","9",NULL,"2.355","48.8631",NULL,"230"
"4014","51",NULL,"2.38949","48.8505",NULL,"882"
"4015","51",NULL,"2.38949","48.8505",NULL,"882"
"4016","51",NULL,"2.38949","48.8505",NULL,"882"
"4017",NULL,NULL,"2.34702","48.8686",NULL,"233"
"4018","11",NULL,"2.34702","48.8686",NULL,"233"
"4019","4",NULL,"2.34702","48.8686",NULL,"233"
"4020","4",NULL,"2.34702","48.8686",NULL,"233"
"4021","4",NULL,"2.34702","48.8686",NULL,"233"
"4022","13",NULL,"2.33893","48.8796",NULL,"234"
"4023","4","bis","2.36222","48.8571",NULL,"235"
"4024","35",NULL,"2.40261","48.8594","À Charonne","931"
"4025","99",NULL,"0","0",NULL,"932"
"4026","90",NULL,"2.39379","48.8753","À Belleville","933"
"4027","79",NULL,"2.35869","48.8998","In Saint-denis","934"
"4028","10",NULL,"2.31548","48.8728",NULL,"239"
"4029","37",NULL,"2.3317","48.8479",NULL,"555"
"4030","14",NULL,"2.33401","48.8697",NULL,"243"
"4031","12",NULL,"2.33401","48.8697",NULL,"243"
"4032","30",NULL,"2.33627","48.8742",NULL,"244"
"4033","78",NULL,"2.33627","48.8742",NULL,"244"
"4034","34",NULL,"2.33627","48.8742",NULL,"244"
"4035","14",NULL,"2.33627","48.8742",NULL,"244"
"4036","4",NULL,"0","0","Barrière Du Banquet","935"
"4037","28","bis","2.33837","48.868",NULL,"249"
"4038","7",NULL,"2.33837","48.868",NULL,"249"
"4039","71",NULL,"2.33837","48.868",NULL,"249"
"4040","84",NULL,"2.33837","48.868",NULL,"249"
"4041","64",NULL,"2.33837","48.868",NULL,"249"
"4042","75",NULL,"2.33837","48.868",NULL,"249"
"4043","8",NULL,"2.33837","48.868",NULL,"249"
"4044","39",NULL,"2.33837","48.868",NULL,"249"
"4045","20",NULL,"2.34307","48.8564",NULL,"900"
"4046","96",NULL,"2.33837","48.868",NULL,"249"
"4047","106",NULL,"2.33837","48.868",NULL,"249"
"4048","29",NULL,"2.33837","48.868",NULL,"249"
"4049","9",NULL,"2.33837","48.868",NULL,"249"
"4050","8",NULL,"2.33837","48.868",NULL,"249"
"4051","4",NULL,"2.34227","48.8476",NULL,"936"
"4052","20",NULL,"2.33837","48.868",NULL,"249"
"4053","92",NULL,"2.33837","48.868",NULL,"249"
"4054","102",NULL,"2.33837","48.868",NULL,"249"
"4055","76",NULL,"2.33837","48.868",NULL,"249"
"4056","23",NULL,"2.33085","48.8498",NULL,"494"
"4057","60",NULL,"2.33837","48.868",NULL,"249"
"4058","34",NULL,"2.32661","48.8433",NULL,"937"
"4059","114",NULL,"2.35367","48.8569",NULL,"251"
"4060","38",NULL,"2.35367","48.8569","Hôtel Windsor","251"
"4061","38",NULL,"2.35367","48.8569",NULL,"251"
"4062","13",NULL,"2.33085","48.8498",NULL,"494"
"4063","35",NULL,"2.34616","48.8799",NULL,"253"
"4064","22",NULL,"2.34318","48.8475",NULL,"331"
"4065","67",NULL,"2.34616","48.8799",NULL,"253"
"4066","29","bis","2.34616","48.8799",NULL,"253"
"4067","36",NULL,"2.34616","48.8799","Rue Des Martyrs 9","253"
"4068","7",NULL,"2.34066","48.8527",NULL,"57"
"4069","56",NULL,"2.36389","48.863",NULL,"260"
"4070","66",NULL,"2.36389","48.863",NULL,"260"
"4071","25",NULL,"2.36389","48.863",NULL,"260"
"4072","24",NULL,"2.36389","48.863",NULL,"260"
"4073","4",NULL,"2.34144","48.8543",NULL,"262"
"4074","12",NULL,"2.33694","48.8542",NULL,"263"
"4075","72",NULL,"2.33694","48.8542",NULL,"263"
"4076","87",NULL,"2.33694","48.8542",NULL,"269"
"4077","1",NULL,"2.34567","48.8687",NULL,"450"
"4078","125",NULL,"2.32097","48.8486",NULL,"939"
"4079","19",NULL,"2.33869","48.8509",NULL,"61"
"4080","93",NULL,"2.32097","48.8486",NULL,"939"
"4081","97",NULL,"2.32097","48.8486",NULL,"939"
"4082","61",NULL,"2.32097","48.8486",NULL,"939"
"4083","38",NULL,"2.32097","48.8486",NULL,"939"
"4084","84",NULL,"2.29576","48.8405","In Vaugirard","939"
"4085","23",NULL,"2.32054","48.871",NULL,"226"
"4086","18",NULL,"2.33473","48.85",NULL,"692"
"4087","47",NULL,"2.34529","48.8738",NULL,"279"
"4088","24",NULL,"2.34529","48.8738",NULL,"279"
"4089","2",NULL,"2.33832","48.8642","Palais Royal","258"
"4090","30",NULL,"2.34247","48.8521",NULL,"689"
"4091","44",NULL,"2.33832","48.8642",NULL,"258"
"4092","8",NULL,"2.31126","48.878",NULL,"940"
"4093","42",NULL,"2.31417","48.8319","In Plaisance Commune De Vaugirard","941"
"4094","2",NULL,"2.3425","48.8619",NULL,"284"
"4095","107",NULL,"2.31167","48.8428",NULL,"287"
"4096","4",NULL,"2.38748","48.8673","In Belleville","942"
"4097","6",NULL,"2.34444","48.8839","In Montmartre","943"
"4098","32",NULL,"2.37639","48.8596",NULL,"296"
"4099","16",NULL,"0","0","In Champerret Gemeinde Neuilly","944"
"4100","22",NULL,"2.29569","48.8683",NULL,"945"
"4101","2",NULL,"2.33566","48.8564",NULL,"298"
"4102","18",NULL,"2.3578","48.8609",NULL,"300"
"4103","26",NULL,"2.35667","48.8592",NULL,"302"
"4104","23",NULL,"2.35667","48.8592",NULL,"302"
"4105","19",NULL,"2.35667","48.8592",NULL,"302"
"4106","49",NULL,"2.35667","48.8592",NULL,"302"
"4107","23",NULL,"2.35667","48.8592",NULL,"302"
"4108","26",NULL,"2.35667","48.8592",NULL,"302"
"4109","36",NULL,"2.35667","48.8592",NULL,"302"
"4110","21",NULL,"2.33863","48.8635",NULL,"303"
"4111","19",NULL,"2.33863","48.8635",NULL,"303"
"4112","32",NULL,"2.33863","48.8635",NULL,"303"
"4113","8",NULL,"2.34356","48.838",NULL,"946"
"4114","11",NULL,"2.32785","48.888","In Batignolles","947"
"4115","27",NULL,"2.38537","48.8703","In Belleville","948"
